title,short_description,description,location,salary_range,min_salary,max_salary,job_type,experience_level,min_education,skills_json,benefits_json,is_urgent,deadline,created_by,created_at,updated_at
Frontend Developer,Build modern UIs with React,We are looking for a skilled Frontend Developer to build responsive and performant web interfaces.,Jakarta Indonesia,8-12 juta,8000000,12000000,full_time,3-5,bachelor,"[""React"",""TypeScript"",""Tailwind""]","[""BPJS"",""Remote Work""]",0,2026-07-01 00:00:00,1,2026-05-06 00:00:00,2026-05-06 00:00:00
Backend Engineer,Build scalable APIs with Laravel,Join our backend team to design and build robust REST APIs for our platform.,Bandung Indonesia,10-15 juta,10000000,15000000,full_time,3-5,bachelor,"[""Laravel"",""MySQL"",""Redis""]","[""BPJS"",""Meal Allowance""]",1,2026-07-01 00:00:00,1,2026-05-06 00:00:00,2026-05-06 00:00:00
UI/UX Designer,Design intuitive user experiences,We need a creative designer to shape our product experience from wireframe to final UI.,Remote,7-10 juta,7000000,10000000,remote,1-3,bachelor,"[""Figma"",""Prototyping"",""User Research""]","[""Flexible Hours"",""Remote""]",0,2026-06-15 00:00:00,1,2026-05-06 00:00:00,2026-05-06 00:00:00
DevOps Engineer,Manage cloud infrastructure,Maintain and scale our cloud infrastructure ensuring high availability and security.,Jakarta Indonesia,12-18 juta,12000000,18000000,full_time,5+,bachelor,"[""Docker"",""Kubernetes"",""AWS""]","[""BPJS"",""Stock Options""]",0,2026-07-15 00:00:00,1,2026-05-06 00:00:00,2026-05-06 00:00:00
Data Analyst,Turn data into insights,Analyze business data and create actionable reports to support strategic decisions.,Surabaya Indonesia,8-12 juta,8000000,12000000,full_time,1-3,bachelor,"[""Python"",""SQL"",""Tableau""]","[""BPJS"",""Training Budget""]",0,2026-06-30 00:00:00,1,2026-05-06 00:00:00,2026-05-06 00:00:00
Mobile Developer,Build cross-platform mobile apps,Develop and maintain our mobile applications for iOS and Android using Flutter.,Remote,9-14 juta,9000000,14000000,remote,3-5,bachelor,"[""Flutter"",""Dart"",""Firebase""]","[""Remote"",""Flexible Hours""]",1,2026-07-01 00:00:00,1,2026-05-06 00:00:00,2026-05-06 00:00:00
Product Manager,Lead product strategy,Drive product vision and roadmap for our platform working closely with engineering and design.,Jakarta Indonesia,15-22 juta,15000000,22000000,full_time,5+,bachelor,"[""Agile"",""Roadmapping"",""Analytics""]","[""BPJS"",""Performance Bonus""]",0,2026-07-30 00:00:00,1,2026-05-06 00:00:00,2026-05-06 00:00:00
QA Engineer,Ensure software quality,Write and execute test plans to ensure our applications meet quality standards.,Yogyakarta Indonesia,7-10 juta,7000000,10000000,full_time,1-3,bachelor,"[""Selenium"",""Postman"",""JIRA""]","[""BPJS"",""Meal Allowance""]",0,2026-06-20 00:00:00,1,2026-05-06 00:00:00,2026-05-06 00:00:00
HR Specialist,Manage recruitment and onboarding,Handle end-to-end recruitment and onboarding processes for our growing team.,Jakarta Indonesia,6-9 juta,6000000,9000000,full_time,1-3,bachelor,"[""Recruitment"",""Onboarding"",""HRIS""]","[""BPJS"",""Training Budget""]",0,2026-06-25 00:00:00,1,2026-05-06 00:00:00,2026-05-06 00:00:00
Content Writer,Create engaging content,Write compelling content for our blog and marketing channels to grow our audience.,Remote,5-8 juta,5000000,8000000,freelance,1-3,diploma,"[""SEO"",""Copywriting"",""WordPress""]","[""Flexible Hours"",""Remote""]",0,2026-06-15 00:00:00,1,2026-05-06 00:00:00,2026-05-06 00:00:00
