"title","description","requirements","company_profile","location","salary_range","employment_type","industry","benefits","fraudulent"
"Software Engineer","Tim ini bertanggung jawab membangun fitur web recruitment dari perencanaan hingga rilis. Anda mengerjakan API dan modul aplikasi serta menjaga kualitas kode bersama tim engineering.

Skill yang dibutuhkan adalah PHP, JavaScript, SQL, Git, problem solving. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","PHP, JavaScript, SQL, Git, problem solving","PT Nusantara Aplikasi Cerdas","Jakarta Selatan","IDR 10000000-16000000","full-time","IT","bpjs|work from home|laptop kantor","1"
"Backend Engineer","Peran ini bertanggung jawab pada arsitektur service backend yang stabil dan aman. Anda membangun endpoint baru melakukan optimasi query dan menyiapkan integrasi antarsistem.

Skill yang dibutuhkan adalah Node.js, PostgreSQL, Redis, REST API. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","Node.js, PostgreSQL, Redis, REST API","PT Aruna Teknologi Nusantara","Bandung","IDR 11000000-18000000","full-time","IT","bpjs|asuransi kesehatan|training & sertifikasi","1"
"Frontend Developer","Anda bertanggung jawab mengembangkan antarmuka web yang cepat responsif dan mudah digunakan. Fokus pekerjaan meliputi implementasi design system serta peningkatan pengalaman pengguna pada halaman utama.

Skill yang dibutuhkan adalah React, TypeScript, HTML, CSS, accessibility. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","React, TypeScript, HTML, CSS, accessibility","PT Cakra Digital Indonesia","Yogyakarta","IDR 9000000-14000000","full-time","IT","work from home|jam kerja fleksibel|laptop kantor","1"
"DevOps Engineer","Posisi ini bertanggung jawab menyiapkan pipeline deployment serta menjaga ketersediaan infrastruktur cloud. Anda mengelola monitoring incident response dan otomatisasi operasional harian.

Skill yang dibutuhkan adalah Docker, Kubernetes, Linux, CI CD, Terraform. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","Docker, Kubernetes, Linux, CI CD, Terraform","PT Garuda Infra Teknologi","Jakarta Barat","IDR 14000000-22000000","kontrak","IT","bpjs|uang lembur|training & sertifikasi","1"
"Data Engineer","Anda bertanggung jawab membangun pipeline data yang reliabel untuk kebutuhan analytics dan machine learning. Pekerjaan mencakup integrasi sumber data validasi kualitas serta optimasi pemrosesan batch.

Skill yang dibutuhkan adalah Python, SQL, Airflow, ETL, data warehouse. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","Python, SQL, Airflow, ETL, data warehouse","PT Lintas Data Karya","Jakarta Pusat","IDR 12000000-19000000","full-time","IT","bpjs|bonus tahunan|asuransi kesehatan","1"
"Data Analyst","Peran ini bertanggung jawab menghasilkan insight bisnis dari data operasional harian. Anda menyiapkan dashboard mingguan melakukan analisis tren serta menyusun rekomendasi berbasis data.

Skill yang dibutuhkan adalah SQL, spreadsheet, dashboard, analytical thinking. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","SQL, spreadsheet, dashboard, analytical thinking","PT Sinar Analitika Teknologi","Surabaya","IDR 8000000-13000000","full-time","IT","cuti berbayar|bpjs|tunjangan makan","1"
"Data Scientist","Anda bertanggung jawab mengembangkan model prediktif untuk meningkatkan kualitas keputusan bisnis. Tugas harian mencakup eksperimen feature engineering evaluasi model dan validasi performa.

Skill yang dibutuhkan adalah Python, machine learning, statistics, experiment design. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","Python, machine learning, statistics, experiment design","PT Integra Kecerdasan Data","Jakarta Selatan","IDR 15000000-26000000","full-time","IT","bpjs|training & sertifikasi|bonus tahunan","1"
"UI UX Designer","Peran ini bertanggung jawab merancang alur pengguna dan tampilan produk digital yang konsisten. Anda membuat wireframe prototype serta validasi usability untuk memastikan pengalaman yang jelas.

Skill yang dibutuhkan adalah Figma, user research, interaction design, design system. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","Figma, user research, interaction design, design system","PT Kreasi Produk Digital","Bandung","IDR 9000000-15000000","full-time","IT","work from home|jam kerja fleksibel|cuti berbayar","1"
"QA Engineer","Anda bertanggung jawab menjaga kualitas rilis aplikasi melalui test plan yang sistematis. Tugas utama mencakup testing fungsional regresi serta pelaporan bug yang dapat ditindaklanjuti.

Skill yang dibutuhkan adalah manual testing, API testing, bug tracking, automation basics. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","manual testing, API testing, bug tracking, automation basics","PT Uji Kualitas Sistem","Jakarta Timur","IDR 8500000-13500000","full-time","IT","bpjs|asuransi kesehatan|uang lembur","1"
"IT Support Specialist","Peran ini bertanggung jawab menangani kendala teknis harian pada perangkat dan akun internal. Anda melakukan troubleshooting instalasi software serta memastikan kelancaran perangkat kerja tim.

Skill yang dibutuhkan adalah Windows, Linux, troubleshooting, networking basics. Lingkungan kerja dan tim bersifat kolaboratif bersama engineer lintas fungsi, QA, product manager, dan designer sesuai kebutuhan proyek.","Windows, Linux, troubleshooting, networking basics","PT Solusi Teknologi Kantor","Tangerang","IDR 6500000-10000000","full-time","IT","bpjs|tunjangan transport|tunjangan makan","1"
